timestamp,offset,yaw,error
1768906521.5700877,-182,-182,0.0
1768906521.6700408,-182,-182,0.0
1768906521.7700028,-182,-182,0.0
1768906521.8700552,-182,-182,0.0
1768906521.9700596,-182,-181,2.0
1768906522.0701008,-182,-181,2.0
1768906522.170009,-182,-181,2.0
1768906522.2700703,-182,-181,2.0
1768906522.3700285,-182,-181,2.0
1768906522.4699857,-182,-181,2.0
1768906522.570111,-182,-182,0.0
1768906522.670066,-182,-182,0.0
1768906522.7700763,-182,-182,0.0
1768906522.8701308,-182,-183,-2.0
1768906522.9700487,-182,-182,0.0
1768906523.0699914,-182,-182,0.0
1768906523.1701229,-182,-182,0.0
1768906523.2701902,-182,-182,0.0
1768906523.3701375,-182,-181,2.0
1768906523.4700532,-182,-181,2.0
1768906523.570032,-182,-181,2.0
1768906523.6700175,-182,-182,0.0
1768906523.7700608,-182,-182,0.0
1768906523.870015,-182,-182,0.0
1768906523.9700303,-182,-182,0.0
1768906524.070073,-182,-183,-2.0
1768906524.1699896,-182,-206,-48.0
1768906524.2701597,-182,-207,-50.0
1768906524.3700414,-182,-204,-44.0
1768906524.469985,-182,-199,-34.0
1768906524.5700462,-182,-198,-32.0
1768906524.6701095,-182,-197,-30.0
1768906524.7701645,-182,-195,-26.0
1768906524.8701243,-182,-194,-24.0
1768906524.9700224,-182,-192,-20.0
1768906525.0699918,-182,-192,-20.0
1768906525.1700702,-182,-191,-18.0
1768906525.2699869,-182,-189,-14.0
1768906525.370077,-182,-189,-14.0
1768906525.4701436,-182,-188,-12.0
1768906525.5700276,-182,-187,-10.0
1768906525.6699965,-182,-186,-8.0
1768906525.7700436,-182,-185,-6.0
1768906525.8699725,-182,-185,-6.0
1768906525.9699907,-182,-184,-4.0
1768906526.06997,-182,-184,-4.0
1768906526.1700757,-182,-180,4.0
1768906526.269943,-182,-151,62.0
1768906526.3700106,-182,-151,62.0
1768906526.4708078,-182,-154,56.0
1768906526.570182,-182,-159,46.0
1768906526.6702075,-182,-161,42.0
1768906526.7702522,-182,-164,36.0
1768906526.8701637,-182,-166,32.0
1768906526.9700186,-182,-167,30.0
1768906527.0700612,-182,-169,26.0
1768906527.170028,-182,-170,24.0
1768906527.2699833,-182,-172,20.0
1768906527.3700116,-182,-173,18.0
1768906527.4700985,-182,-174,16.0
1768906527.5700023,-182,-175,14.0
1768906527.6700675,-182,-176,12.0
1768906527.7702034,-182,-177,10.0
1768906527.8700218,-182,-177,10.0
1768906527.9701955,-182,-178,8.0
1768906528.0702968,-182,-178,8.0
1768906528.1699936,-182,-178,8.0
1768906528.2700872,-182,-179,6.0
1768906528.3701031,-182,-179,6.0
1768906528.4700434,-182,-179,6.0
1768906528.5699658,-182,-180,4.0
1768906528.669982,-182,-180,4.0
1768906528.7700846,-182,-180,4.0
1768906528.8702562,-182,-180,4.0
1768906528.9701645,-182,-185,-6.0
1768906529.070041,-182,-190,-16.0
1768906529.170197,-182,-184,-4.0
1768906529.270109,-182,-181,2.0
1768906529.3700848,-182,-183,-2.0
1768906529.4700632,-182,-183,-2.0
1768906529.5699892,-182,-185,-6.0
1768906529.6699812,-182,-188,-12.0
1768906529.770137,-182,-189,-14.0
1768906529.8699617,-182,-189,-14.0
1768906529.9701252,-182,-187,-10.0
1768906530.0702226,-182,-187,-10.0
1768906530.170154,-182,-186,-8.0
1768906530.2700489,-182,-185,-6.0
1768906530.369996,-182,-185,-6.0
1768906530.4700315,-182,-187,-10.0
1768906530.5700865,-182,-191,-18.0
1768906530.6700742,-182,-190,-16.0
1768906530.7701218,-182,-189,-14.0
1768906530.8701699,-182,-189,-14.0
1768906530.970059,-182,-188,-12.0
