Generacion,Individuo,Kp,Fitness
0,0,8.131917977048396,NA
0,1,6.678398901073434,NA
0,2,4.093702559033649,NA
0,3,5.4565957149299615,NA
0,4,5.787452740324685,NA
0,5,5.005256151445618,NA
0,0,8.131917977048396,10.728032570122785
0,1,6.678398901073434,8.909884212448837
0,2,4.093702559033649,12.31874051180673
0,3,5.4565957149299615,11.295941482295866
0,4,5.787452740324685,11.384194168660716
0,5,5.005256151445618,14.598714764951477
1,0,6.678398901073434,12.038384570707972
1,1,8.131917977048396,9.821436671270364
1,2,5.252301579208916,10.108819222277438
1,3,5.3147745588332205,7.304597815156696
1,4,5.505284203967146,11.215750261709411
1,5,7.881690363636652,11.390242605808131
2,0,5.3147745588332205,6.727360745856579
2,1,8.131917977048396,5.140727382891511
2,2,5.331850693151198,11.647828968664495
2,3,5.447327985166714,12.417191020531178
2,4,5.268653391723848,9.812250731224093
2,5,7.690806889247674,13.550881837132714
3,0,8.131917977048396,10.15698019998656
3,1,5.3147745588332205,9.16665782998778
3,2,7.942433517612748,13.077455545859198
3,3,5.271037709942329,11.128487748199035
