pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
101,-52,-18,-272,71,20.5556,75,0.474
99,-72,-62,-271,69,20,75,0.475
96,-84,-68,-327,67,19.4444,72.9137,0.475
93,-103,-64,-316,67,19.4444,72.9137,0.474
90,-118,-53,-317,64,18.6111,69.8828,0.474
88,122,-33,-316,57,16.6667,63.0513,0.485
85,95,-30,-318,52,15.2778,58.3435,0.485
83,80,-55,-315,47,13.8889,53.7471,0.493
79,60,-68,-324,47,13.8889,53.7471,0.493
75,43,-77,-319,43,12.7778,50.126,0.493
71,26,-87,-316,37,11.1111,44.7865,0.445
65,8,-97,-319,37,11.1111,44.7865,0.445
61,-5,-107,-310,33,10,41.2785,0.445
51,-29,-119,-301,30,9.16667,38.6429,0.422
45,-44,-127,-309,26,8.05556,35.0802,0.422
35,-67,-135,-315,24,7.5,33.2604,0.392
31,-78,-138,-323,21,6.66667,30.4597,0.392
21,-98,-157,-313,21,6.66667,30.4597,0.367
14,-112,-159,-323,17,5.55556,26.549,0.367
7,116,-159,-309,13,4.44444,22.3542,0.346
-8,102,-170,-313,13,4.44444,22.3542,0.346
-17,84,-178,-315,7,2.77778,15.2774,0.331
-32,60,-198,-316,7,2.77778,15.2774,0.331
-44,42,-219,-312,4,1.94444,11.254,0.331
-55,26,-236,-319,1,1.11111,6.80481,0.314
-67,12,-231,-320,1,1.11111,6.80481,0.314
-77,-5,-256,-318,-2,0.277778,1.81818,0.295
-95,-24,-268,-318,-2,0.277778,1.81818,0.295
-105,-37,-284,-320,-3,0,0,0.295
-121,-52,-293,-319,-4,-0.277778,-1.81818,0.285
121,-69,-296,-313,-4,-0.277778,-1.81818,0.285
107,-84,-314,-314,-4,-0.277778,-1.81818,0.285
90,-102,-318,-295,-4,-0.277778,-1.81818,0.249
71,-118,-313,-294,-4,-0.277778,-1.81818,0.249
42,112,-311,-295,-4,-0.277778,-1.81818,0.226
29,99,-314,-295,-4,-0.277778,-1.81818,0.226
10,81,-319,-291,-3,0,0,0.203
-6,67,-314,-293,-3,0,0,0.203
-27,47,-312,-307,-2,0.277778,1.81818,0.184
-43,32,-317,-308,-2,0.277778,1.81818,0.184
-57,18,-313,-315,-2,0.277778,1.81818,0.184
-78,-4,-307,-328,-2,0.277778,1.81818,0.17
-91,-25,-244,-334,-9,-1.66667,-9.83532,0.17
-112,-46,-320,-325,-9,-1.66667,-9.83532,0.171
-127,-58,-346,-266,-17,-3.88889,-20.106,0.171
105,-78,-291,-236,-17,-3.88889,-20.106,0.118
92,-90,-302,-215,-15,-3.33333,-17.7622,0.118
70,-102,-311,-194,-12,-2.5,-13.99,0.093
47,-117,-316,-206,-9,-1.66667,-9.83532,0.093
28,127,-319,-216,-9,-1.66667,-9.83532,0.07
12,116,-314,-229,-7,-1.11111,-6.80481,0.07
-3,101,-319,-249,-5,-0.555556,-3.55942,0.07
-23,88,-318,-261,-4,-0.277778,-1.81818,0.047
-45,70,-316,-276,-4,-0.277778,-1.81818,0.047
-55,59,-319,-287,-3,0,0,0.041
-78,39,-320,-296,-2,0.277778,1.81818,0.041
-95,24,-334,-302,5,2.22222,12.6345,0.014
-117,3,-279,-306,5,2.22222,12.6345,0.014
-127,-8,-288,-281,7,2.77778,15.2774,0.006
109,-28,-318,-326,7,2.77778,15.2774,0.006
76,-63,0,0,12,4.16667,21.2415,0.012
76,-63,0,0,30,9.16667,38.6429,0.012
75,-64,-2,-4,30,9.16667,38.6429,0.176
69,-74,-140,-289,56,16.3889,62.101,0.176
61,-92,-169,-355,92,26.3889,75,0.331
51,-114,-139,-337,92,26.3889,75,0.331
47,122,-55,-313,139,39.4444,75,0.511
45,107,-46,-312,139,39.4444,75,0.511
45,90,-18,-314,156,44.1667,94.2682,0.511
43,68,-32,-313,166,46.9444,107.226,0.176
41,56,-48,-318,169,47.7778,111.173,0.176
41,33,0,-285,169,47.7778,111.173,0.214
43,24,37,-260,174,49.1667,117.937,0.214
44,10,15,-311,176,49.7222,120.725,0.215
43,-14,4,-339,176,49.7222,120.725,0.215
43,-34,-2,-337,172,48.6111,115.191,0.215
43,-56,0,-322,172,48.6111,115.191,0.298
43,-72,0,-315,163,46.1111,103.321,0.298
44,-90,3,-314,155,43.8889,92.9839,0.176
46,-109,34,-314,155,43.8889,92.9839,0.176
45,-128,12,-314,145,41.1111,80.173,0.176
45,114,4,-325,140,39.7222,75,0.176
45,102,-5,-313,140,39.7222,75,0.176
42,75,-50,-314,130,36.9444,75,0.275
40,63,-53,-312,130,36.9444,75,0.275
37,42,-49,-314,130,36.9444,75,0.491
35,29,-43,-310,123,35,75,0.491
33,10,-41,-315,123,35,75,0.459
28,-22,-41,-322,110,31.3889,75,0.459
26,-38,-42,-310,108,30.8333,75,0.431
23,-55,-45,-318,102,29.1667,75,0.431
21,-73,-44,-313,95,27.2222,75,0.431
19,-93,-41,-316,93,26.6667,75,0.417
16,-113,-42,-320,88,25.2778,75,0.405
13,120,-39,-311,88,25.2778,75,0.405
11,104,-39,-313,77,22.2222,75,0.404
7,77,-44,-314,72,20.8333,75,0.404
5,58,-41,-314,72,20.8333,75,0.396
2,41,-42,-318,72,20.8333,75,0.396
0,24,-40,-308,63,18.3333,68.8995,0.396
-3,3,-46,-317,55,16.1111,61.1604,0.424
-5,-14,-45,-312,51,15,57.4262,0.424
-9,-41,-41,-310,44,13.0556,51.0306,0.424
-13,-62,-64,-312,44,13.0556,51.0306,0.484
-22,-102,-93,-316,37,11.1111,44.7865,0.44
-32,124,-97,-313,25,7.77778,34.1744,0.44
-40,96,-94,-311,20,6.38889,29.5046,0.413
-48,72,-112,-303,17,5.55556,26.549,0.413
-57,47,-130,-307,17,5.55556,26.549,0.387
-67,27,-153,-314,14,4.72222,23.4314,0.387
-76,7,-177,-316,9,3.33333,17.7622,0.365
-93,-23,-180,-317,5,2.22222,12.6345,0.365
-108,-56,-194,-321,1,1.11111,6.80481,0.35
-124,-72,-207,-316,1,1.11111,6.80481,0.35
118,-92,-225,-318,-3,0,0,0.35
102,-113,-250,-328,-6,-0.833333,-5.20155,0.329
89,121,-215,-339,-12,-2.5,-13.99,0.325
68,97,-297,-326,-12,-2.5,-13.99,0.325
49,78,-342,-311,-27,-6.66667,-30.4597,0.349
29,60,-345,-257,-27,-6.66667,-30.4597,0.349
3,42,-302,-204,-39,-10,-41.2785,0.413
-22,29,-318,-157,-35,-8.88889,-37.7596,0.413
-46,16,-311,-153,-31,-7.77778,-34.1744,0.396
-61,9,-312,-137,-31,-7.77778,-34.1744,0.396
-84,0,-318,-134,-27,-6.66667,-30.4597,0.239
-97,-6,-311,-136,-23,-5.55556,-26.549,0.239
-117,-15,-316,-152,-20,-4.72222,-23.4314,0.207
117,-26,-317,-178,-17,-3.88889,-20.106,0.207
88,-42,-316,-186,-13,-2.77778,-15.2774,0.19
73,-52,-318,-197,-13,-2.77778,-15.2774,0.19
53,-65,-312,-200,-10,-1.94444,-11.254,0.171
37,-75,-317,-226,-7,-1.11111,-6.80481,0.171
11,-94,-318,-233,-4,-0.277778,-1.81818,0.158
-7,-106,-328,-228,-4,-0.277778,-1.81818,0.158
-25,-119,-332,-278,-4,-0.277778,-1.81818,0.171
-43,119,-275,-286,10,3.61111,18.9516,0.171
-54,102,-298,-258,15,5,24.4869,0.171
-81,85,-294,-308,15,5,24.4869,0.172
-93,66,-227,-332,16,5.27778,25.5253,0.172
-103,48,-179,-312,14,4.72222,23.4314,0.117
-115,30,-180,-307,14,4.72222,23.4314,0.117
127,4,-166,-313,11,3.88889,20.106,0.095
