timestamp,kontrol_mota,factor,error_traj,delta_v,yaw,distancia
1.76552e+09,npg,0.4,0,0,0,1.014
1.76552e+09,npg,0.4,0,0,0,1.014
1.76552e+09,npg,0.4,0,0,0,1.014
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,1.014
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,1.014
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.998
1.76552e+09,npg,0.4,1.81818,1.69824,0,0.998
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.998
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.933
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.933
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.933
1.76552e+09,npg,0.4,3.39394,2.88421,0,0.947
1.76552e+09,npg,0.4,1.81818,1.69824,0,0.947
1.76552e+09,npg,0.4,-2.90909,-2.54006,0,0.947
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.956
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.956
1.76552e+09,npg,0.4,-11.0303,-7.12488,0,0.925
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.925
1.76552e+09,npg,0.4,-4.72727,-3.75213,0,0.903
1.76552e+09,npg,0.4,-1.57576,-1.49799,0,0.903
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.865
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.865
1.76552e+09,npg,0.4,11.2727,7.24762,0,0.865
1.76552e+09,npg,0.4,11.2727,7.24762,0,0.879
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.879
1.76552e+09,npg,0.4,3.39394,2.88421,0,0.842
1.76552e+09,npg,0.4,0.242424,0.254473,0,0.842
1.76552e+09,npg,0.4,0.242424,0.254473,0,0.842
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.833
1.76552e+09,npg,0.4,-9.21212,-6.2059,0,0.833
1.76552e+09,npg,0.4,-10.7879,-7.00187,0,0.818
1.76552e+09,npg,0.4,-14.1818,-8.75352,0,0.818
1.76552e+09,npg,0.4,-11.0303,-7.12488,0,0.792
1.76552e+09,npg,0.4,-7.87879,-5.52075,0,0.792
1.76552e+09,npg,0.4,-1.83765e-13,0,0,0.792
1.76552e+09,npg,0.4,4.72727,3.75213,0,0.78
1.76552e+09,npg,0.4,11.2727,7.24762,0,0.78
1.76552e+09,npg,0.4,14.4242,8.88026,0,0.772
1.76552e+09,npg,0.4,9.69697,6.45137,0,0.772
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.75
1.76552e+09,npg,0.4,4.9697,3.89962,0,0.75
1.76552e+09,npg,0.4,-1.33333,-1.28815,0,0.75
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.75
1.76552e+09,npg,0.4,-6.06061,-4.53685,0,0.75
1.76552e+09,npg,0.4,-6.06061,-4.53685,0,0.706
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.706
1.76552e+09,npg,0.4,-6.30303,-4.67294,0,0.672
1.76552e+09,npg,0.4,-3.15152,-2.7139,0,0.672
1.76552e+09,npg,0.4,-6.30303,-4.67294,0,0.644
1.76552e+09,npg,0.4,3.15152,2.7139,0,0.644
1.76552e+09,npg,0.4,4.72727,3.75213,0,0.644
1.76552e+09,npg,0.4,9.69697,6.45137,0,0.624
1.76552e+09,npg,0.4,9.69697,6.45137,0,0.624
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.598
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.598
1.76552e+09,npg,0.4,3.39394,2.88421,0,0.598
1.76552e+09,npg,0.4,0.242424,0.254473,0,0.582
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.582
1.76552e+09,npg,0.4,-7.63636,-5.39361,0,0.555
1.76552e+09,npg,0.4,-12.3636,-7.80589,0,0.555
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.536
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.536
1.76552e+09,npg,0.4,-11.0303,-7.12488,0,0.51
1.76552e+09,npg,0.4,-3.46327e-13,0,0,0.51
1.76552e+09,npg,0.4,-3.15152,-2.7139,0,0.491
1.76552e+09,npg,0.4,9.45455,6.32833,0,0.491
1.76552e+09,npg,0.4,16,9.7253,0,0.471
1.76552e+09,npg,0.4,17.5758,10.593,0,0.471
1.76552e+09,npg,0.4,14.4242,8.88026,0,0.456
1.76552e+09,npg,0.4,14.4242,8.88026,0,0.456
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.433
1.76552e+09,npg,0.4,-2.90909,-2.54006,0,0.433
1.76552e+09,npg,0.4,-4.48485,-3.60227,0,0.429
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.429
1.76552e+09,npg,0.4,-11.0303,-7.12488,0,0.389
1.76552e+09,npg,0.4,-11.0303,-7.12488,0,0.389
1.76552e+09,npg,0.4,-9.45455,-6.32833,0,0.389
1.76552e+09,npg,0.4,-3.15152,-2.7139,0,0.362
1.76552e+09,npg,0.4,-3.54278e-13,0,0,0.362
1.76552e+09,npg,0.4,3.15152,2.7139,0,0.362
1.76552e+09,npg,0.4,11.2727,7.24762,0,0.336
1.76552e+09,npg,0.4,12.8485,8.05708,0,0.336
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.321
1.76552e+09,npg,0.4,8.12121,5.64691,0,0.321
1.76552e+09,npg,0.4,1.81818,1.69824,0,0.304
1.76552e+09,npg,0.4,-2.90909,-2.54006,0,0.304
1.76552e+09,npg,0.4,-7.63636,-5.39361,0,0.278
1.76552e+09,npg,0.4,-12.3636,-7.80589,0,0.278
1.76552e+09,npg,0.4,-15.7576,-9.59388,0,0.251
1.76552e+09,npg,0.4,-7.87879,-5.52075,0,0.251
1.76552e+09,npg,0.4,-4.72727,-3.75213,0,0.227
1.76552e+09,npg,0.4,1.57576,1.49799,0,0.227
1.76552e+09,npg,0.4,6.30303,4.67294,0,0.212
1.76552e+09,npg,0.4,9.45455,6.32833,0,0.212
1.76552e+09,npg,0.4,12.8485,8.05708,0,0.212
1.76552e+09,npg,0.4,12.8485,8.05708,0,0.172
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.172
1.76552e+09,npg,0.4,6.54545,4.80723,0,0.172
1.76552e+09,npg,0.4,-1.33333,-1.28815,0,0.172
