timestamp,offset,yaw,error
1765531056.1490052,99,99,0.0
1765531056.2489052,99,99,0.0
1765531056.3490374,99,99,0.0
1765531056.4489758,99,100,5.31
1765531056.5488565,99,101,10.62
1765531056.6489685,99,101,10.62
1765531056.7489672,99,101,10.62
1765531056.8490849,99,100,5.31
1765531056.94895,99,100,5.31
1765531057.0491016,99,99,0.0
1765531057.148891,99,99,0.0
1765531057.2492268,99,99,0.0
1765531057.3489463,99,99,0.0
1765531057.4491448,99,99,0.0
1765531057.5490172,99,99,0.0
1765531057.6492212,99,99,0.0
1765531057.7490041,99,100,5.31
1765531057.8490396,99,100,5.31
1765531057.9489033,99,100,5.31
1765531058.0490148,99,100,5.31
1765531058.1489868,99,100,5.31
1765531058.2488797,99,100,5.31
1765531058.3489163,99,99,0.0
1765531058.4490166,99,99,0.0
1765531058.5489743,99,99,0.0
1765531058.649134,99,99,0.0
1765531058.748977,99,99,0.0
1765531058.848822,99,100,5.31
1765531058.9490428,99,100,5.31
1765531059.0488584,99,100,5.31
1765531059.149015,99,100,5.31
1765531059.248824,99,103,21.24
1765531059.348936,99,116,90.27
1765531059.4491289,99,119,106.19999999999999
1765531059.5489104,99,116,90.27
1765531059.6491065,99,112,69.03
1765531059.749161,99,110,58.41
1765531059.849184,99,102,15.93
1765531059.9489343,99,99,0.0
1765531060.0489495,99,96,-15.93
1765531060.148883,99,95,-21.24
1765531060.2490978,99,95,-21.24
1765531060.348911,99,97,-10.62
1765531060.4491718,99,97,-10.62
1765531060.54899,99,98,-5.31
1765531060.6489038,99,99,0.0
1765531060.7490005,99,99,0.0
1765531060.8490148,99,100,5.31
1765531060.9489074,99,100,5.31
1765531061.0488265,99,100,5.31
1765531061.1492753,99,100,5.31
1765531061.24901,99,100,5.31
1765531061.3489573,99,100,5.31
1765531061.4489172,99,100,5.31
1765531061.5489125,99,99,0.0
1765531061.6491973,99,99,0.0
1765531061.7490714,99,99,0.0
1765531061.8486814,99,99,0.0
1765531061.9489093,99,99,0.0
1765531062.049011,99,99,0.0
1765531062.1488721,99,90,-47.79
1765531062.2488534,99,85,-74.33999999999999
1765531062.3489153,99,84,-79.64999999999999
1765531062.4490006,99,86,-69.03
1765531062.5488863,99,90,-47.79
1765531062.6489098,99,93,-31.86
1765531062.748986,99,94,-26.549999999999997
1765531062.8487923,99,97,-10.62
1765531062.9489455,99,98,-5.31
1765531063.048914,99,99,0.0
1765531063.1489823,99,100,5.31
1765531063.2490218,99,100,5.31
1765531063.3489153,99,100,5.31
1765531063.4488747,99,100,5.31
1765531063.5487409,99,99,0.0
1765531063.6491537,99,99,0.0
1765531063.7489939,99,100,5.31
1765531063.8490434,99,100,5.31
1765531063.9489787,99,100,5.31
1765531064.0489094,99,100,5.31
1765531064.1489782,99,99,0.0
1765531064.2489028,99,99,0.0
1765531064.3489194,99,99,0.0
1765531064.4489212,99,99,0.0
1765531064.5490263,99,99,0.0
1765531064.648979,99,99,0.0
1765531064.7489736,99,99,0.0
1765531064.8489547,99,99,0.0
1765531064.9489784,99,100,5.31
1765531065.0488484,99,100,5.31
1765531065.1488404,99,100,5.31
1765531065.248967,99,100,5.31
1765531065.34909,99,99,0.0
1765531065.4489632,99,99,0.0
1765531065.5489762,99,99,0.0
1765531065.6487434,99,99,0.0
1765531065.748892,99,99,0.0
1765531065.8488948,99,99,0.0
1765531065.9488416,99,100,5.31
1765531066.048948,99,100,5.31
