timestamp,offset,yaw,error
1765363009.9913304,5,5,0.0
1765363010.0913713,5,5,0.0
1765363010.1913507,5,5,0.0
1765363010.291552,5,5,0.0
1765363010.3915093,5,5,0.0
1765363010.49141,5,5,0.0
1765363010.5915592,5,5,0.0
1765363010.6915436,5,5,0.0
1765363010.7915127,5,6,9.0
1765363010.8914883,5,6,9.0
1765363010.9916472,5,6,9.0
1765363011.0914814,5,8,27.0
1765363011.191434,5,29,216.0
1765363011.2914443,5,29,216.0
1765363011.3914542,5,27,198.0
1765363011.491455,5,21,144.0
1765363011.5914502,5,6,9.0
1765363011.6914399,5,0,-45.0
1765363011.7915,5,-7,-108.0
1765363011.891485,5,-9,-126.0
1765363011.991537,5,-7,-108.0
1765363012.091388,5,-3,-72.0
1765363012.1914864,5,0,-45.0
1765363012.2914548,5,2,-27.0
1765363012.3915493,5,5,0.0
1765363012.4914134,5,10,45.0
1765363012.5914135,5,10,45.0
1765363012.691308,5,10,45.0
1765363012.7915344,5,9,36.0
1765363012.8915389,5,7,18.0
1765363012.9914954,5,3,-18.0
1765363013.0914004,5,2,-27.0
1765363013.1913784,5,-8,-117.0
1765363013.2914562,5,-13,-162.0
1765363013.3914137,5,-18,-207.0
1765363013.4914522,5,-15,-180.0
1765363013.591369,5,-10,-135.0
1765363013.6913984,5,-3,-72.0
1765363013.7914588,5,-3,-72.0
1765363013.8913877,5,4,-9.0
1765363013.9914749,5,7,18.0
1765363014.091397,5,11,54.0
1765363014.1914794,5,11,54.0
1765363014.2915308,5,11,54.0
1765363014.3914723,5,10,45.0
1765363014.491578,5,6,9.0
1765363014.591701,5,4,-9.0
1765363014.6914403,5,1,-36.0
1765363014.7914526,5,1,-36.0
1765363014.8914924,5,1,-36.0
1765363014.9914172,5,4,-9.0
1765363015.0915468,5,5,0.0
1765363015.1914089,5,6,9.0
1765363015.2914524,5,7,18.0
1765363015.3914447,5,9,36.0
1765363015.4914653,5,16,99.0
1765363015.5914967,5,40,315.0
1765363015.6913455,5,44,351.0
1765363015.7915933,5,43,342.0
1765363015.8924172,5,36,279.0
1765363015.9914856,5,23,162.0
1765363016.091494,5,13,72.0
1765363016.191584,5,1,-36.0
1765363016.2915132,5,-17,-198.0
1765363016.391474,5,-23,-252.0
1765363016.491394,5,-23,-252.0
1765363016.5914485,5,-17,-198.0
1765363016.6917841,5,-13,-162.0
1765363016.7915092,5,-9,-126.0
1765363016.8913686,5,-2,-63.0
1765363016.9915535,5,0,-45.0
1765363017.0919385,5,3,-18.0
1765363017.1913605,5,8,27.0
1765363017.2914493,5,9,36.0
1765363017.3913772,5,10,45.0
1765363017.4914398,5,9,36.0
1765363017.591527,5,8,27.0
1765363017.6914306,5,5,0.0
1765363017.7913516,5,3,-18.0
1765363017.8915951,5,2,-27.0
1765363017.9913812,5,3,-18.0
1765363018.0913794,5,3,-18.0
1765363018.1914315,5,4,-9.0
1765363018.2919457,5,5,0.0
1765363018.3916478,5,7,18.0
1765363018.4914532,5,7,18.0
1765363018.591404,5,7,18.0
1765363018.6913576,5,7,18.0
1765363018.7913928,5,6,9.0
1765363018.8913789,5,5,0.0
1765363018.991377,5,5,0.0
1765363019.0912313,5,4,-9.0
1765363019.191539,5,4,-9.0
1765363019.2914279,5,4,-9.0
1765363019.3914728,5,5,0.0
1765363019.4915717,5,6,9.0
1765363019.591432,5,6,9.0
1765363019.6917076,5,6,9.0
