timestamp,yaw_offset,yaw,pos_izq,pos_der,vel_izq,vel_der,distancia
1765526742.862077,1,1,70,-40,0,0,0.9169999957084656
1765526742.9620225,1,1,70,-40,0,0,0.9169999957084656
1765526743.0621743,1,1,70,-40,0,0,0.9169999957084656
1765526743.1620991,1,1,70,-40,0,0,0.9169999957084656
1765526743.2621522,1,1,70,-40,0,0,0.9169999957084656
1765526743.3621953,1,1,70,-40,0,0,0.9169999957084656
1765526743.4622464,1,1,70,-40,0,0,0.9169999957084656
1765526743.5621836,1,1,70,-40,0,0,0.9169999957084656
1765526743.6621013,1,1,70,-40,0,0,0.9169999957084656
1765526743.762092,1,1,70,-40,0,0,0.9169999957084656
1765526743.8621573,1,1,70,-40,0,0,0.9169999957084656
1765526743.9623215,1,1,70,-40,0,0,0.9169999957084656
1765526744.0620234,1,1,70,-40,0,0,0.9169999957084656
1765526744.1621978,1,1,70,-40,0,0,0.9169999957084656
1765526744.2621677,1,1,70,-40,0,0,0.9169999957084656
1765526744.3622468,1,1,70,-40,0,0,0.9169999957084656
1765526744.4623606,1,1,70,-40,0,0,0.9169999957084656
1765526744.5621824,1,1,70,-40,0,0,0.9169999957084656
1765526744.6621566,1,1,70,-40,0,0,0.9169999957084656
1765526744.7622097,1,1,70,-40,0,0,0.9169999957084656
1765526744.862306,1,1,70,-40,0,0,0.9169999957084656
1765526744.9621227,1,1,70,-40,0,0,0.9169999957084656
1765526745.06201,1,1,70,-40,0,0,0.9169999957084656
1765526745.1621792,1,1,70,-40,0,0,0.9169999957084656
1765526745.26216,1,1,70,-40,0,0,0.9169999957084656
1765526745.3621862,1,1,70,-40,0,0,0.9169999957084656
1765526745.4621785,1,1,70,-40,0,0,0.9169999957084656
1765526745.562164,1,1,70,-40,0,0,0.9169999957084656
1765526745.662191,1,1,70,-40,0,0,0.9169999957084656
1765526745.7621653,1,1,70,-40,0,0,0.9169999957084656
1765526745.8622105,1,1,70,-40,0,0,0.9169999957084656
1765526745.9621677,1,1,70,-40,0,0,0.9169999957084656
1765526746.0621219,1,1,70,-40,0,0,0.9169999957084656
1765526746.1621413,1,1,70,-40,0,0,0.9169999957084656
1765526746.2621481,1,1,70,-40,0,0,0.9169999957084656
1765526746.362193,1,1,70,-40,0,0,0.9169999957084656
1765526746.4621742,1,1,70,-40,0,0,0.9169999957084656
1765526746.5621703,1,1,70,-40,0,0,0.9169999957084656
1765526746.662042,1,1,70,-40,0,0,0.9169999957084656
1765526746.7622175,1,1,70,-40,0,0,0.9169999957084656
1765526746.8621678,1,1,69,-41,-73,-87,0.9169999957084656
1765526746.962189,1,2,43,-69,-350,-343,0.9169999957084656
1765526747.0621974,1,2,-2,-112,-339,-334,0.8949999809265137
1765526747.162083,1,2,-34,111,-318,-316,0.8640000224113464
1765526747.2621121,1,2,-59,86,-303,-311,0.8529999852180481
1765526747.3621206,1,2,-90,56,-318,-309,0.8529999852180481
1765526747.4622078,1,2,-127,19,-317,-319,0.8330000042915344
1765526747.5622072,1,2,101,-11,-312,-317,0.8100000023841858
1765526747.6620636,1,3,80,-31,-315,-315,0.7839999794960022
1765526747.7622395,1,3,42,-70,-321,-315,0.7839999794960022
1765526747.862195,1,3,8,-102,-312,-315,0.7559999823570251
1765526747.9623113,1,3,-19,126,-311,-313,0.7440000176429749
1765526748.062183,1,3,-48,95,-308,-306,0.7179999947547913
1765526748.162524,1,3,-79,66,-320,-314,0.7179999947547913
1765526748.2622387,1,3,-112,31,-315,-322,0.6980000138282776
1765526748.3623095,1,3,113,1,-317,-314,0.6700000166893005
1765526748.4622626,1,3,82,-29,-318,-318,0.6539999842643738
1765526748.562488,1,3,49,-64,-312,-316,0.6240000128746033
1765526748.6621726,1,4,8,-103,-318,-311,0.6240000128746033
1765526748.7621546,1,4,-25,120,-314,-316,0.5979999899864197
1765526748.8623304,1,4,-39,107,-311,-315,0.5730000138282776
1765526748.9621644,1,4,-92,54,-309,-310,0.5590000152587891
1765526749.0621889,1,4,-115,30,-318,-318,0.5590000152587891
1765526749.162153,1,4,105,-6,-317,-316,0.5320000052452087
1765526749.2621646,1,5,71,-40,-314,-315,0.5109999775886536
1765526749.3623857,1,5,56,-55,-317,-317,0.492000013589859
1765526749.4621873,1,4,21,-90,-311,-317,0.492000013589859
1765526749.5621836,1,5,-15,-126,-312,-312,0.4790000021457672
1765526749.6622198,1,5,-30,111,-321,-313,0.46399998664855957
1765526749.7621038,1,5,-87,57,-318,-317,0.43299999833106995
1765526749.862211,1,5,-100,45,-310,-314,0.4009999930858612
1765526749.9621627,1,5,120,9,-318,-312,0.4009999930858612
1765526750.0622056,1,5,85,-28,-320,-319,0.37400001287460327
1765526750.1621635,1,5,50,-61,-312,-310,0.35499998927116394
1765526750.2620559,1,6,35,-77,-313,-316,0.335999995470047
1765526750.362172,1,6,-5,-116,-320,-314,0.335999995470047
1765526750.462181,1,6,-46,99,-313,-311,0.32600000500679016
1765526750.562162,1,6,-56,89,-311,-315,0.289000004529953
1765526750.6622577,1,6,-107,38,-318,-322,0.289000004529953
1765526750.7621849,1,6,126,14,-308,-317,0.25699999928474426
1765526750.8623512,1,6,109,-3,-317,-319,0.23600000143051147
1765526750.9623268,1,6,57,-56,-313,-315,0.21299999952316284
1765526751.0621696,1,6,33,-77,-314,-315,0.19099999964237213
1765526751.1622338,1,6,0,-113,-315,-317,0.1720000058412552
1765526751.2622626,1,7,-43,103,-313,-314,0.1720000058412552
1765526751.3622131,1,7,-77,68,-320,-317,0.15399999916553497
1765526751.4621606,1,7,-89,57,-313,-312,0.13699999451637268
1765526751.5621157,1,7,121,10,-315,-321,0.10300000011920929
1765526751.6621358,1,7,83,-27,-316,-319,0.10300000011920929
1765526751.7622285,1,7,49,-61,-275,-281,0.17399999499320984
1765526751.8619957,1,7,47,-63,37,138,0.057999998331069946
1765526751.9621587,1,7,56,-56,17,-17,0.06499999761581421
1765526752.062053,1,7,53,-57,-33,-7,0.06499999761581421
1765526752.1621597,1,7,54,-57,4,0,0.06499999761581421
1765526752.2622924,1,7,54,-57,0,0,0.06499999761581421
1765526752.3621736,1,7,54,-57,0,0,0.06499999761581421
1765526752.4622962,1,7,54,-57,0,0,0.06499999761581421
1765526752.5621674,1,7,54,-57,0,0,0.06499999761581421
1765526752.6620831,1,7,54,-57,0,0,0.06499999761581421
1765526752.762221,1,7,54,-57,0,0,0.06499999761581421
1765526752.8623035,1,7,54,-57,0,0,0.06499999761581421
1765526752.9621818,1,7,54,-57,0,0,0.06499999761581421
1765526753.0621746,1,7,54,-57,0,0,0.06499999761581421
1765526753.1620913,1,7,54,-57,0,0,0.06499999761581421
1765526753.262175,1,7,54,-57,0,0,0.06499999761581421
1765526753.3621778,1,7,54,-57,0,0,0.06499999761581421
1765526753.4621806,1,7,54,-57,0,0,0.06499999761581421
1765526753.5622034,1,7,54,-57,0,0,0.06499999761581421
1765526753.662412,1,7,54,-57,0,0,0.06499999761581421
1765526753.7621508,1,7,54,-57,0,0,0.06499999761581421
1765526753.8621638,1,7,54,-57,0,0,0.06499999761581421
1765526753.962132,1,7,54,-57,0,0,0.06499999761581421
1765526754.0623643,1,7,54,-57,0,0,0.06499999761581421
1765526754.162319,1,7,54,-57,0,0,0.06499999761581421
1765526754.2621946,1,7,54,-57,0,0,0.06499999761581421
1765526754.3622868,1,7,54,-57,0,0,0.06499999761581421
1765526754.4622192,1,7,54,-57,0,0,0.06499999761581421
1765526754.5622737,1,7,54,-57,0,0,0.06499999761581421
1765526754.6621885,1,7,54,-57,0,0,0.06499999761581421
1765526754.762128,1,7,54,-57,0,0,0.06499999761581421
