pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
44,18,-296,-246,-6,-1.66667,-9.83532,0.171
23,1,-357,-289,-3,-0.833333,-5.20155,0.325
1,-16,-347,-266,-3,-0.833333,-5.20155,0.325
-18,-34,-319,-265,1,0.277778,1.81818,0.516
-40,-50,-312,-282,2,0.555556,3.55942,0.516
-52,-63,-298,-304,1,0.277778,1.81818,0.516
-68,-79,-287,-318,1,0.277778,1.81818,0.622
-82,-95,-292,-321,-4,-1.11111,-6.80481,0.622
-104,-117,-291,-267,-9,-2.5,-13.99,0.715
-116,127,-257,-246,-9,-2.5,-13.99,0.715
119,107,-287,-255,-8,-2.22222,-12.6345,0.733
101,93,-352,-270,-8,-2.22222,-12.6345,0.733
75,73,-334,-255,-6,-1.66667,-9.83532,0.722
62,63,-320,-246,-6,-1.66667,-9.83532,0.722
37,43,-307,-243,-4,-1.11111,-6.80481,0.689
24,33,-309,-247,-4,-1.11111,-6.80481,0.689
6,18,-315,-265,-2,-0.555556,-3.55942,0.673
-12,2,-321,-269,-1,-0.277778,-1.81818,0.673
-30,-13,-314,-283,-1,-0.277778,-1.81818,0.673
-50,-29,-317,-288,0,0,0,0.65
-68,-46,-314,-294,1,0.277778,1.81818,0.622
-94,-70,-322,-301,1,0.277778,1.81818,0.622
-104,-81,-308,-314,2,0.555556,3.55942,0.622
-128,-107,-296,-314,2,0.555556,3.55942,0.6
114,-120,-302,-311,2,0.555556,3.55942,0.6
98,119,-292,-314,2,0.555556,3.55942,0.584
86,103,-276,-313,1,0.277778,1.81818,0.584
70,85,-283,-318,1,0.277778,1.81818,0.564
46,61,-286,-317,1,0.277778,1.81818,0.564
36,50,-288,-316,0,0,0,0.564
13,25,-295,-313,-1,-0.277778,-1.81818,0.539
2,14,-300,-314,-1,-0.277778,-1.81818,0.539
-17,-9,-308,-307,-1,-0.277778,-1.81818,0.516
-33,-25,-307,-297,-1,-0.277778,-1.81818,0.516
-48,-39,-319,-295,0,0,0,0.495
-80,-66,-324,-295,0,0,0,0.495
-98,-84,-313,-303,0,0,0,0.495
-116,-100,-312,-307,1,0.277778,1.81818,0.466
124,-117,-315,-321,1,0.277778,1.81818,0.466
105,121,-314,-319,1,0.277778,1.81818,0.448
90,105,-299,-309,1,0.277778,1.81818,0.448
72,85,-292,-314,1,0.277778,1.81818,0.419
56,69,-288,-312,1,0.277778,1.81818,0.419
45,57,-293,-313,0,0,0,0.419
24,35,-292,-316,0,0,0,0.403
10,15,-308,-308,0,0,0,0.403
-14,-4,-315,-319,0,0,0,0.384
-32,-22,-321,-319,0,0,0,0.384
-49,-41,-321,-315,0,0,0,0.354
-66,-57,-313,-314,0,0,0,0.354
-79,-73,-315,-315,0,0,0,0.34
-100,-91,-313,-309,0,0,0,0.34
-118,-109,-313,-314,0,0,0,0.359
118,-128,-316,-315,0,0,0,0.359
98,107,-312,-320,0,0,0,0.359
84,93,-317,-311,1,0.277778,1.81818,0.31
65,73,-315,-314,1,0.277778,1.81818,0.283
40,48,-306,-315,1,0.277778,1.81818,0.283
26,34,-301,-316,1,0.277778,1.81818,0.283
5,12,-292,-313,1,0.277778,1.81818,0.249
-7,-2,-291,-310,0,0,0,0.249
-21,-16,-295,-317,0,0,0,0.226
-42,-37,-302,-319,0,0,0,0.226
-52,-51,-310,-313,0,0,0,0.226
-78,-74,-317,-315,0,0,0,0.203
-88,-85,-320,-318,0,0,0,0.203
-109,-105,-316,-315,0,0,0,0.18
-124,-120,-313,-315,0,0,0,0.18
110,110,-316,-311,0,0,0,0.171
78,81,-318,-315,0,0,0,0.171
52,56,-318,-319,0,0,0,0.131
34,31,-314,-313,0,0,0,0.131
5,9,-314,-316,0,0,0,0.101
-22,-19,-317,-318,0,0,0,0.101
-47,-43,-310,-315,0,0,0,0.078
-74,-73,-318,-313,1,0.277778,1.81818,0.078
-93,-91,-320,-323,1,0.277778,1.81818,0.047
-116,-113,-311,-312,1,0.277778,1.81818,0.047
